Function,Parameters,Start Line,End Line,Direct Callers,Direct Dependencies,Services,Destructive/Write Ops,Public Naming,Reachability,Risk Hint
existsFunctionByName_,name,15406,15413,appendRequiredFunctionChecks_; runDashboardQualityCarePlanSyncDiagnostics_,,,,Private/helper,Reachable,Low
writeFrameworkHealthCheckReport_,results,15414,15418,runFrameworkHealthCheck; runFrameworkSmokeValidation,deleteLegacyQualityReportSheet_; saveDashboardQualityRowsForHealthCheck_,,,Private/helper,Reachable,Low
normalizeFrameworkHealthCheckRows_,rows,15419,15430,,,,,Private/helper,No static path,Low
getRequiredHelperFunctionNames_,,15431,15445,collectFrameworkHealthCheckRows_,,,,Private/helper,Reachable,Low
getRequiredMenuFunctionNames_,,15446,15488,collectFrameworkHealthCheckRows_,,,,Private/helper,Reachable,Low
getRequiredDashboardFunctionNames_,,15489,15498,collectFrameworkHealthCheckRows_,,,,Private/helper,Reachable,Low
getRequiredTemplateFunctionNames_,,15499,15507,collectFrameworkHealthCheckRows_,,,,Private/helper,Reachable,Low
getRequiredValidationFunctionNames_,,15508,15515,collectFrameworkHealthCheckRows_,,,,Private/helper,Reachable,Low
getRequiredTimingFunctionNames_,,15516,15524,collectFrameworkHealthCheckRows_,,,,Private/helper,Reachable,Low
getRequiredFrameworkDashboardFunctionNames_,,15525,15536,,,,,Private/helper,No static path,Low
runWorkflowSyncVerification,,15537,15541,,runDashboardQualityWorkflowSyncVerification_,,,Public,Reachable,Low
runDashboardQualityWorkflowSyncVerification_,timing,15542,15548,runWorkflowSyncVerification,collectWorkflowSyncVerificationRows_; markFrameworkStep_; saveDashboardQualitySectionRows_,,,Private/helper,Reachable,Low
setupSystemSheets,,15549,15557,quickSystemSetup,initializeSystemSheets_; notify_; runFrameworkSmokeValidation; setupIndexRefreshOnSheetAddedTrigger_,,,Public,Reachable,Low
verifyFrameworkConfiguration,,15558,15603,,collectFormatDashboardColumnDefinitionVerificationRows_; collectFormatDashboardGlobalInputVerificationRows_; collectFormatDashboardSheetBehaviorVerificationRows_; collectFormatDashboardSheetDefinitionVerificationRows_; collectFormatDashboardSheetHeaderVerificationRows_; initializeSystemSheets_; markFrameworkStep_; runFrameworkTimed_; saveDashboardQualitySectionRows_; styleDashboardQualityReport_; writeCombinedFrameworkTimingReport_,SpreadsheetApp,,Public,No static path,Medium
runFrameworkTimed_,"processName, callback",15614,15633,archiveActiveRawDataSheet; archiveMonthlyActiveSheets; archiveMonthlyImportSheets; buildCombinedFrameworkTestDashboard; clearDiagnosticsAndTimingLogs; createDisenrolledList; createOrRefreshAllReportTemplates; formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlySheets; hideMonthlySheetsBySpecs_; hideReportTemplates; hideSystemSheetsNow; repairAllTemplateDateFormats; runAllFrameworkTestsAndBuildDashboard; runDashboardQualityFull; runDashboardQualityStartUp; runDashboardQualityValidateTemplates; saveActiveLayoutToDashboardSettings; setupReportFormattingDashboardFromScriptDefaults_; showReportTemplates; showSystemSheetsNow; validateActiveBannerFormatterOutput; validateReportTemplates; verifyFrameworkConfiguration,isFrameworkTimingEnabled_; markFrameworkStep_; startFrameworkTiming_; writeFrameworkTimingReportBestEffort_,,,Private/helper,Reachable,Low
startFrameworkTiming_,processName,15634,15644,runFrameworkTimed_,,,,Private/helper,Reachable,Low
markFrameworkStep_,"timing, stepName, details",15645,15669,applyDataRows_; applyTemplateBaseFormatting_; applyTemplateFreezeAndTabColor_; applyTemplateRowHeights_; archiveActiveRawDataSheet; archiveMonthlySheetsBySpecs_; archiveRawSourceAndDeleteLocal_; buildCombinedFrameworkTestDashboard; buildTemplateFromDashboardSafely_; buildTemplateFromDashboard_; clearDiagnosticsAndTimingLogs; clearTemplateForFullBuild_; createActiveDemoPFromRawData_; createDisenrolledList; createOrRefreshAllReportTemplates; createOrRefreshTemplateFromDashboard_; ensureGoldenMasterTemplate_; ensureTemplateFilter_; formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; formatMonthlySheets; hideSheetIfNeeded_; hideSystemAndTestingSheets_; hideTemplateIfNeeded_; promoteStagedTemplateBuild_; refreshTemplateMetadataOnly_; repairAllTemplateDateFormats; runAllFrameworkTestsAndBuildDashboard; runDashboardQualityCarePlanSyncDiagnostics_; runDashboardQualityDashboardVerificationSections_; runDashboardQualityFull; runDashboardQualityPerformanceSummary_; runDashboardQualitySectionIfDue_; runDashboardQualityTemplateAndFormatSections_; runDashboardQualityValidateTemplates; runDashboardQualityWorkflowSyncVerification_; runFrameworkHealthCheck; runFrameworkTimed_; saveActiveLayoutToDashboardSettings; saveFormatDashboardConfigChanges_; setReportTemplateVisibility_; setupReportFormattingDashboardFromScriptDefaults_; showSheetIfNeeded_; showSystemSheetsNow; validateActiveBannerFormatterOutput; validateReportTemplates; validateReportTemplatesCore_; verifyFrameworkConfiguration,getRuntimeTimingSeverity_; markRuntimeStep_,,,Private/helper,Reachable,Low
writeFrameworkTimingReport_,timing,15670,15673,writeTimingReport_,writeFrameworkTimingReportBestEffort_,,,Private/helper,String referenced,Low
writeFrameworkTimingReportBestEffort_,timing,15674,15685,runFrameworkTimed_; writeFrameworkTimingReport_,appendRuntimeTimingToFrameworkTimingReport_; logBestEffortWarning_; writeCombinedFrameworkTimingReport_,,,Private/helper,Reachable,Low
writeTimingReport_,timing,15686,15689,,writeFrameworkTimingReport_,,,Private/helper,String referenced,Low
trimTimingReportRows_,sheet,15690,15706,,logBestEffortWarning_,,deleteRows,Private/helper,No static path,High
rebuildProductionMonthlyChangeTemplate,,15707,15787,,applyGovernedTextAndNumberFormats_; getHeadersForSheetType_; getMonthlyChangeReportHeaders_; getSheetDefinitionByType_; getThemeColorsFromBase_; loadDashboardConfig_; notify_; resizeSheetGrid_; safeSetRowHeights_,SpreadsheetApp,deleteSheet; insertSheet; setValue; setValues,Public,No static path,High
