Function name,Start line,End line,Function type,Primary responsibility,Module or logical ownership,Functions called,Functions calling it (determinable),Dependencies,External services used,Sheets accessed,Configuration objects referenced,Dashboard components referenced,Read operations,Write operations,Destructive operations,Trigger usage,Error handling,Logging,Complexity assessment
createActiveDemoPFromRawData_,9764,9857,Process function; Internal/private; Utility,Create active demo pfrom raw data,Demo P,applyTemplateColumnWidths_; buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; combineAddressesData_; combineNotesSummaryData_; deleteSheetIfExists_; flattenDemoPContactRowsInMemory_; getTemplateDrivenActiveSheetContext_; handleLanguageData_; insertGovernedOutputSheet_; logBestEffortWarning_; mapRowsToHeaders_; markFrameworkStep_; populateDemoPNameData_; populateDemoPUpdateColumns_; populateParticipantNameData_; populateUniversalMetadataColumns_; resizeSheetGrid_; runMasterContactProcessData_; setLastRawDataDisenrolledBuildResult_; splitPhoneNumbersData_; updateBannerColumnData_; updateDemoPReportDates_; validateRawDataPreflightForDemoP_,buildDemoPFromScratch; getOrCreateDemoPProcessingSheet_,DATA_START_ROW; HEADER_ROW; SHEET_TYPE; applyTemplateColumnWidths_; buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; combineAddressesData_; combineNotesSummaryData_; deleteSheetIfExists_; flattenDemoPContactRowsInMemory_; getTemplateDrivenActiveSheetContext_; handleLanguageData_; insertGovernedOutputSheet_; logBestEffortWarning_; mapRowsToHeaders_; markFrameworkStep_; populateDemoPNameData_; populateDemoPUpdateColumns_; populateParticipantNameData_; populateUniversalMetadataColumns_; resizeSheetGrid_; runMasterContactProcessData_; setLastRawDataDisenrolledBuildResult_; splitPhoneNumbersData_; updateBannerColumnData_; updateDemoPReportDates_; validateRawDataPreflightForDemoP_,SpreadsheetApp,");
      return out;
    }));
  }
  if (timing) markFrameworkStep_(timing, ; Build Demo P from Raw Data; Demo P; Demo P Data processed, metadata mapped, and contacts flattened in memory | Rows retained: ; Demo P style mapping failed: ; Demo P workspace environmental defaults skipped: ; Raw Data rows prepared for Demo P without disenrollment exclusion; DEMO_P; SHEET_TYPE",DATA_START_ROW; HEADER_ROW; SHEET_TYPE,None detected,getActiveSpreadsheet(); getFrozenColumns(); getFrozenRows(); getLastColumn(); getLastRow(); getRange(),copyTo(); setFrozenColumns(); setFrozenRows(); setTabColor(); setValue(); setValues(); setWrapStrategy(); showSheet(),None detected,None detected,try/catch,markFrameworkStep_; logBestEffortWarning_,"Medium (LOC 94, branches 10)"
populateDemoPUpdateColumns_,9859,9873,Process function; Internal/private,Implement populate demo pupdate columns,Demo P,None detected,buildDemoPFreshRowsForPMRs_; createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; updateExistingDemoPFromRawData_,None detected,None detected,Demo P Source Sheet; Demo P Update Month; Demo P Update Status,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 15, branches 6)"
populateUniversalMetadataColumns_,9875,9916,Process function; Internal/private,Implement populate universal metadata columns,Shared framework utilities,buildColumnsUpdatedText_; buildSourceHashByPMR_; buildSourceHashForRow_; getPMRIndex_; normalizePMR_,buildDemoPFreshRowsForPMRs_; createActiveDemoPFromRawData_; processDemoPAsWorkingSource_; updateExistingDemoPFromRawData_,buildColumnsUpdatedText_; buildSourceHashByPMR_; buildSourceHashForRow_; getPMRIndex_; normalizePMR_,Session; Utilities,Source Sheet,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 42, branches 14)"
buildSourceHashByPMR_,9918,9934,Process function; Internal/private,Build source hash by pmr,Shared framework utilities,buildSourceHashForRows_; normalizePMR_,populateUniversalMetadataColumns_,buildSourceHashForRows_; normalizePMR_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 17, branches 3)"
buildSourceHashForRows_,9936,9957,Process function; Internal/private,Build source hash for rows,Shared framework utilities,computeStableHash_; normalizeHashValue_,buildSourceHashByPMR_; buildSourceHashForRow_,computeStableHash_; normalizeHashValue_,None detected,Demo P Source Sheet; Demo P Update Month; Demo P Update Status; Source Sheet,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 22, branches 1)"
buildSourceHashForRow_,9959,9961,Process function; Internal/private,Build source hash for row,Shared framework utilities,buildSourceHashForRows_,populateUniversalMetadataColumns_,buildSourceHashForRows_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
buildColumnsUpdatedText_,9963,9977,Process function; Internal/private,Build columns updated text,Date/month utilities,None detected,populateUniversalMetadataColumns_,None detected,None detected,Source Sheet,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 15, branches 0)"
normalizeHashValue_,9979,9985,Internal/private; Utility,Implement normalize hash value,Shared framework utilities,None detected,buildSourceHashForRows_,None detected,Session; Utilities,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 2)"
computeStableHash_,9987,9993,Internal/private,Implement compute stable hash,Shared framework utilities,None detected,buildSourceHashForRows_; compactTemplateFormatSignature_; computeDashboardQualityShellSignature_; updateFormatDashboardChangelog_,None detected,Utilities,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 1)"
verifyPrimaryPMRColumnFromRawData_,9995,10002,Validator; Internal/private; Utility,Implement verify primary pmrcolumn from raw data,Raw Data,None detected,No static caller detected,None detected,None detected,Demo P requires Primary PMR Row from Raw Data. Run Format Raw Data first.,None detected,None detected,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 8, branches 2)"
createOrRefreshDemoPTemplate_,10004,10010,Formatter; Internal/private,Create or refresh demo ptemplate,Template governance,createOrRefreshTemplateFromDashboard_; getSheetDefinitionByType_; loadDashboardConfig_,No static caller detected,SHEET_TYPE; createOrRefreshTemplateFromDashboard_; getSheetDefinitionByType_; loadDashboardConfig_,None detected,DEMO_P; SHEET_TYPE,SHEET_TYPE,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 0)"
applyDemoPTemplateToSheet_,10012,10046,Formatter; Internal/private; Utility,Implement apply demo ptemplate to sheet,Template governance,applyDashboardTemplateFormattingToActiveReportSheet_; clearSheetRuntimeCachesForSheet_; getBehaviorForSheetType_; getHeadersForSheetType_; getSheetDefinitionByType_; loadDashboardConfig_,processDemoP,SHEET_TYPE; applyDashboardTemplateFormattingToActiveReportSheet_; clearSheetRuntimeCachesForSheet_; getBehaviorForSheetType_; getHeadersForSheetType_; getSheetDefinitionByType_; loadDashboardConfig_,None detected,").setValue(sheetDef.reportTitle || ; ,
    null
  );


  try {
    targetSheet.getRange(; DEMO_P; SHEET_TYPE",SHEET_TYPE,None detected,getRange(),setValue(),None detected,None detected,try/catch,None detected,"Low (LOC 35, branches 3)"
applyDemoPDateFormattingByHeader_,10048,10070,Formatter; Internal/private,Implement apply demo pdate formatting by header,Demo P,getHeaders_,No static caller detected,DATA_START_ROW; DEMO_P_TEMPLATE_DATE_HEADERS; HEADER_ROW; getHeaders_,None detected,Could not apply Demo P date format for ; Could not apply Demo P title date format: ; DEMO_P_TEMPLATE_DATE_HEADERS,DATA_START_ROW; DEMO_P_TEMPLATE_DATE_HEADERS; HEADER_ROW,None detected,getLastRow(); getRange(),setNumberFormat(),None detected,None detected,try/catch,None detected,"Low (LOC 23, branches 6)"
buildMonthlyChangeReport,10102,10118,Menu function; Public entry point; Workflow function; Process function,Build monthly change report,Monthly Change,buildMonthlyChangeReportForMonth_; markRuntimeStep_; promptForLockedYearReportMonth_; startRuntimeTiming_; writeRuntimeTimingReport_,No static caller detected,buildMonthlyChangeReportForMonth_; markRuntimeStep_; promptForLockedYearReportMonth_; startRuntimeTiming_; writeRuntimeTimingReport_,None detected,Build Monthly Change Report; Monthly Change workflow complete; Monthly Change workflow stopped without report,None detected,None detected,None detected,None detected,None detected,None detected,try/catch,markRuntimeStep_; writeRuntimeTimingReport_,"Low (LOC 17, branches 3)"
buildMonthlyChangeReportForMonth_,10120,10231,Process function; Internal/private,Build monthly change report for month,Monthly Change,buildMonthlyChangeReportSectionLayout_; buildMonthlySheetName_; compareRawDemoPForSectionReport_; createIndexSheet; formatDateForSheetName_; formatMonthlyChangeReportSectionSheet_; getCurrentRawDataSheet_; getPreviousRawDataSheet_; getSheetDefinitionByType_; loadDashboardConfig_; markRuntimeStep_; notify_; placeCreatedSheetInConfiguredOrder_; populateMonthlyChangeReportSections_; setRequiredSheetName_; showSheetIfNeeded_,buildMonthlyChangeReport; runMonthlyUpdate,MONTHLY_CHANGE_REPORT_PREFIX; SHEET_TYPE; buildMonthlyChangeReportSectionLayout_; buildMonthlySheetName_; compareRawDemoPForSectionReport_; createIndexSheet; formatDateForSheetName_; formatMonthlyChangeReportSectionSheet_; getCurrentRawDataSheet_; getPreviousRawDataSheet_; getSheetDefinitionByType_; loadDashboardConfig_; markRuntimeStep_; notify_; placeCreatedSheetInConfiguredOrder_; populateMonthlyChangeReportSections_; setRequiredSheetName_; showSheetIfNeeded_,SpreadsheetApp,. Run Create / Refresh All Templates first.; Current month Raw Data was not found.\n\n; Monthly Change Report created.\n\n; Monthly Change datasets compiled in-memory; Monthly Change detail - report sheet shown; Monthly Change detail - source sheets located | Current: ; Monthly Change detail - template copied: ; Monthly Change index refreshed; Monthly Change report already exists: ; Monthly Change report drawn and subheaders formatted; Monthly Change report sheet created from template; full-workbook sheet sorting skipped by design; Monthly Change section layout prepared; Monthly Change section rows populated; No Raw Data changes found. Monthly Change Report was not created.\n\n; Previous month Raw Data was not found.\n\n; Template not found: ; The Monthly Change Report compares previous month Raw Data to current month Raw Data.\n\n; MONTHLY_CHANGE; MONTHLY_CHANGE_REPORT_PREFIX; SHEET_TYPE,MONTHLY_CHANGE_REPORT_PREFIX; SHEET_TYPE,Monthly Change section layout prepared; Monthly Change section rows populated,getActiveSpreadsheet(); getSheetByName(),copyTo(),None detected,None detected,throws errors,markRuntimeStep_; notify_,"Medium (LOC 112, branches 6)"
compareRawDemoPForSectionReport_,10234,10429,Internal/private,Implement compare raw demo pfor section report,Demo P,buildRowsSignatureForCompare_; getChangedColumnsForSectionRows_; getFieldValueFromRow_; getMostRecentDateFromRowsByHeader_; getRawDemoPDataForCompare_; isParticipantEnrollmentStatusDisenrolled_; isSameDate_; rowsWithDOBOnlyForSection_,buildMonthlyChangeReportForMonth_,buildRowsSignatureForCompare_; getChangedColumnsForSectionRows_; getFieldValueFromRow_; getMostRecentDateFromRowsByHeader_; getRawDemoPDataForCompare_; isParticipantEnrollmentStatusDisenrolled_; isSameDate_; rowsWithDOBOnlyForSection_,None detected,RAW_DEMO_P_BANNER_FIELDS; RAW_DEMO_P_CASELOAD_FIELDS; RAW_DEMO_P_CONTACT_FIELDS; RAW_DEMO_P_DEMOGRAPHIC_FIELDS; RAW_DEMO_P_DISENROLLMENT_FIELDS; RAW_DEMO_P_ENROLLMENT_FIELDS,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"High (LOC 196, branches 10)"
rowsWithDOBOnlyForSection_,10432,10436,Internal/private,Implement rows with dobonly for section,Shared framework utilities,getDOBIndex_; normalizeCompareValue_,compareRawDemoPForSectionReport_,getDOBIndex_; normalizeCompareValue_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 1)"
buildRowsSignatureForCompare_,10438,10452,Process function; Internal/private,Build rows signature for compare,Shared framework utilities,normalizeCompareValue_,compareRawDemoPForSectionReport_,normalizeCompareValue_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 15, branches 1)"
getChangedColumnsForSectionRows_,10454,10468,Internal/private; Utility,Resolve or return changed columns for section rows,Shared framework utilities,buildColumnSignaturesForSection_,compareRawDemoPForSectionReport_,buildColumnSignaturesForSection_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 15, branches 4)"
buildColumnSignaturesForSection_,10470,10481,Process function; Internal/private,Build column signatures for section,Shared framework utilities,normalizeCompareValue_,getChangedColumnsForSectionRows_,normalizeCompareValue_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 12, branches 1)"
getRawDemoPDataForCompare_,10483,10549,Internal/private; Utility,Resolve or return raw demo pdata for compare,Demo P,getDOBIndex_; getDataValues_; getPMRIndex_; normalizeCompareValue_; normalizePMR_,compareRawDemoPForSectionReport_,DATA_START_ROW; HEADER_ROW; getDOBIndex_; getDataValues_; getPMRIndex_; normalizeCompareValue_; normalizePMR_,None detected,None detected,DATA_START_ROW; HEADER_ROW,None detected,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 67, branches 6)"
compareSingleFieldAndAdd_,10551,10598,Internal/private,Implement compare single field and add,Shared framework utilities,addMCRRow_; getDOBIndex_; getFieldValueFromRow_; normalizeCompareValue_; valuesAreEqual_,No static caller detected,addMCRRow_; getDOBIndex_; getFieldValueFromRow_; normalizeCompareValue_; valuesAreEqual_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 48, branches 5)"
addMCRRow_,10600,10641,Internal/private,Implement add mcrrow,Monthly Change,buildParticipantName_; displayValueForReport_; getFieldValueFromRow_,compareSingleFieldAndAdd_,buildParticipantName_; displayValueForReport_; getFieldValueFromRow_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 42, branches 5)"
buildContactCompareMap_,10643,10660,Process function; Internal/private,Build contact compare map,Shared framework utilities,getFieldValueFromRow_; normalizeCompareValue_,collectFrameworkSmokeValidationRows_,getFieldValueFromRow_; normalizeCompareValue_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 18, branches 3)"
getFieldValueFromRow_,10662,10666,Internal/private; Utility,Resolve or return field value from row,Shared framework utilities,None detected,addMCRRow_; buildContactCompareMap_; buildParticipantName_; compareRawDemoPForSectionReport_; compareSingleFieldAndAdd_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 1)"
buildParticipantName_,10668,10683,Process function; Internal/private,Build participant name,Shared framework utilities,getFieldValueFromRow_; normalizeCompareValue_,addMCRRow_,getFieldValueFromRow_; normalizeCompareValue_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 16, branches 2)"
displayValueForReport_,10685,10690,Internal/private; Utility,Implement display value for report,Shared framework utilities,formatDateDisplay_,addMCRRow_; buildMonthlyChangeReportRow_,formatDateDisplay_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 2)"
buildMonthlyChangeReportSectionLayout_,10693,10714,Process function; Formatter; Internal/private,Build monthly change report section layout,Monthly Change,getMonthlyChangeReportHeaders_; padRowToWidth_; resizeSheetGrid_; stripMonthlyChangeNativeBandings_,buildMonthlyChangeReportForMonth_,HEADER_ROW; getMonthlyChangeReportHeaders_; padRowToWidth_; resizeSheetGrid_; stripMonthlyChangeNativeBandings_,None detected,Monthly Change Report,HEADER_ROW,None detected,getMaxRows(); getRange(),setFrozenColumns(); setFrozenRows(); setValue(); setValues(),None detected,None detected,None explicit,None detected,"Low (LOC 22, branches 2)"
